客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
黄山太平农村商业银行股份有限公司,100000000.0,20140218,20151008,100000000.0
浙江舟山普陀农村商业银行股份有限公司,88888888.89,20140218,20151008,88888888.89
延边农村商业银行股份有限公司,0.01,20140218,20190108,0.01
湖南宁乡农村商业银行股份有限公司,111111111.1,20140311,20151008,111111111.11
江苏省国信集团财务有限公司,110000000.0,20140311,20151008,110000000.0
鹰潭农村商业银行股份有限公司,45555555.56,20141028,20180630,45555555.56
浙江杭州余杭农村商业银行股份有限公司,49981082.39,20160321,20190930,49981082.39
恒丰银行股份有限公司,1005201985.0,20100921,20180428,1005201985.44
锦州银行股份有限公司,66417.0,20101008,20190930,66417.0
保定银行股份有限公司,0.01,20120611,20180129,0.01
东莞农村商业银行股份有限公司,1297862777.0,20131225,20190930,1297862777.46
池州九华农村商业银行股份有限公司,0.01,20131225,20170830,0.01
江苏昆山农村商业银行股份有限公司,2012267.3,20140217,20190930,2012267.3
青岛农村商业银行股份有限公司,18944788.15,20140218,20190831,18944788.15
凉山州商业银行股份有限公司,33333333.33,20140218,20160120,33333333.33
赣州农村商业银行股份有限公司,111111111.1,20140218,20150930,111111111.11
长沙芙蓉农村合作银行,27777777.78,20140218,20151008,27777777.78
江苏海安农村商业银行股份有限公司,359846320.7,20140218,20190930,359846320.65
石嘴山银行股份有限公司,590000.0,20140218,20191031,590000.0
九江农村商业银行股份有限公司,111111111.1,20140218,20150930,111111111.11
巴彦淖尔河套农村商业银行股份有限公司,48888888.89,20140218,20160120,48888888.89
南昌农村商业银行股份有限公司,20357548.77,20140218,20191130,20357548.77
韩亚中国,222222222.2,20150206,20150728,222222222.22
铜陵农村商业银行股份有限公司,0.01,20150225,20170830,0.01
西班牙对外银行,166666666.7,20160114,20160120,166666666.67
浙江上虞农村商业银行股份有限公司,55555555.56,20171211,20180630,55555555.56
上海华瑞银行股份有限公司,5989400.0,20171211,20191130,5989400.0
浙江南浔农村商业银行股份有限公司,2883473.34,20171211,20190918,2883473.34
